# cpace v0.1.3 targeted fuzz rerun
# candidate=1f19e278112fa037890848ed6c086addeffdca4e
# candidate_worktree=/private/tmp/cpace-1f19e27-fuzz-20260731T082842Z-imacpro/repo
# original_run_dir=/private/tmp/cpace-1f19e27-fuzz-20260731T082842Z-imacpro
# target=FuzzMessageARoundTrip
# transcript_start_utc=2026-07-31T22:50:09Z

$ hostname
# start_utc=2026-07-31T22:50:09Z
iMacPro.local
# end_utc=2026-07-31T22:50:09Z exit=0

$ sw_vers
# start_utc=2026-07-31T22:50:09Z
ProductName:		macOS
ProductVersion:		15.7.7
BuildVersion:		24G720
# end_utc=2026-07-31T22:50:09Z exit=0

$ uname -a
# start_utc=2026-07-31T22:50:09Z
Darwin iMacPro.local 24.6.0 Darwin Kernel Version 24.6.0: Tue Apr 21 20:17:54 PDT 2026; root:xnu-11417.140.69.710.16~1/RELEASE_X86_64 x86_64
# end_utc=2026-07-31T22:50:09Z exit=0

$ git --version
# start_utc=2026-07-31T22:50:09Z
git version 2.39.5 (Apple Git-154)
# end_utc=2026-07-31T22:50:09Z exit=0

$ go version
# start_utc=2026-07-31T22:50:09Z
go version go1.26.5 darwin/amd64
# end_utc=2026-07-31T22:50:09Z exit=0

$ go env GOOS GOARCH GOVERSION GOTOOLCHAIN GOFLAGS GOENV
# start_utc=2026-07-31T22:50:09Z
darwin
amd64
go1.26.5
go1.26.5

/Users/josh/Library/Application Support/go/env
# end_utc=2026-07-31T22:50:09Z exit=0

$ git rev-parse HEAD
1f19e278112fa037890848ed6c086addeffdca4e

$ git status --porcelain=v1

$ git diff --exit-code --no-ext-diff
# start_utc=2026-07-31T22:50:09Z
# end_utc=2026-07-31T22:50:09Z exit=0

$ FUZZ_RACE=0 GOMAXPROCS=4 go test -timeout=0 -fuzz=FuzzMessageARoundTrip -fuzztime=1h .
# rerun_start_utc=2026-07-31T22:50:09Z
# environment=GOTOOLCHAIN=go1.26.5 FUZZ_RACE=0 GOMAXPROCS=4 FUZZTIME=1h FUZZ_TEST_PARALLEL=unset
fuzz: elapsed: 0s, gathering baseline coverage: 0/15 completed
fuzz: elapsed: 8m21s, execs: 48367352 (96745/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m24s, execs: 48653364 (95337/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m27s, execs: 48945873 (97501/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m30s, execs: 49233295 (95811/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m33s, execs: 49525958 (97553/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m36s, execs: 49813761 (95933/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m39s, execs: 50105891 (97378/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m42s, execs: 50393482 (95864/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m45s, execs: 50680965 (95791/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m48s, execs: 50973612 (97587/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m51s, execs: 51263146 (96510/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m54s, execs: 51552937 (96598/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m57s, execs: 51840492 (95851/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 9m0s, execs: 52133037 (97479/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 9m3s, execs: 52421063 (96045/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 9m6s, execs: 52708632 (95792/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 9m9s, execs: 53001258 (97607/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 9m12s, execs: 53293498 (97414/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 9m15s, execs: 53581024 (95841/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 9m18s, execs: 53867513 (95436/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 9m21s, execs: 54159195 (97289/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 9m24s, execs: 54448912 (96572/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 9m27s, execs: 54736452 (95847/sec), new interesting: 0 (total: 15)
